State,District,Crop,Year,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare,Annual_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_Percent,Avg_Min_Price,Avg_Max_Price,Avg_Modal_Price
Andhra Pradesh,Guntur,Rice,2020,28654,121831.81,4.252,698.6,25.291666666666668,60.89166666666667,1996.9191666666666,2344.2075,2170.5641666666666
Andhra Pradesh,Guntur,Rice,2021,26575,109596.96,4.124,589.5,25.5,58.23333333333333,2095.6566666666668,2460.116666666667,2277.8866666666668
Andhra Pradesh,Guntur,Rice,2022,21850,86406.83,3.955,734.0,26.866666666666664,66.38333333333334,2106.5,2472.8483333333334,2289.6741666666667
Andhra Pradesh,Guntur,Rice,2023,16363,65822.87,4.023,707.3,26.008333333333336,62.725,2169.771666666667,2547.1225,2358.4474999999998
Andhra Pradesh,Guntur,Rice,2024,5769,24588.24,4.262,592.5,26.516666666666666,56.291666666666664,2226.1683333333335,2613.3266666666664,2419.7475
Andhra Pradesh,Guntur,Rice,2025,7433,29870.92,4.019,387.9,26.416666666666668,53.949999999999996,2262.0775,2655.4841666666666,2458.78
Andhra Pradesh,Guntur,Maize,2020,25939,95874.77,3.696,698.6,25.291666666666668,60.89166666666667,1772.6416666666667,2080.9258333333332,1926.7833333333335
Andhra Pradesh,Guntur,Maize,2021,23942,85101.16,3.554,589.5,25.5,58.23333333333333,1791.944166666667,2103.5875,1947.765
Andhra Pradesh,Guntur,Maize,2022,5189,18883.27,3.639,734.0,26.866666666666664,66.38333333333334,1836.9433333333334,2156.4083333333333,1996.6758333333335
Andhra Pradesh,Guntur,Maize,2023,6899,29368.26,4.257,707.3,26.008333333333336,62.725,1840.1616666666666,2160.1875,2000.1741666666667
Andhra Pradesh,Guntur,Maize,2024,16394,66666.15,4.066,592.5,26.516666666666666,56.291666666666664,1877.5883333333334,2204.1233333333334,2040.8575
Andhra Pradesh,Guntur,Maize,2025,19502,74031.84,3.796,387.9,26.416666666666668,53.949999999999996,1936.1658333333332,2272.8908333333334,2104.528333333333
Andhra Pradesh,Guntur,Cotton,2020,28897,57269.66,1.982,698.6,25.291666666666668,60.89166666666667,6121.037499999999,7185.568333333334,6653.302500000001
Andhra Pradesh,Guntur,Cotton,2021,26870,70615.72,2.628,589.5,25.5,58.23333333333333,6502.2775,7633.107499999999,7067.6925
Andhra Pradesh,Guntur,Cotton,2022,22159,42322.48,1.91,734.0,26.866666666666664,66.38333333333334,6465.355,7589.765833333334,7027.560833333333
Andhra Pradesh,Guntur,Cotton,2023,24457,44482.62,1.819,707.3,26.008333333333336,62.725,6877.806666666666,8073.946666666667,7475.876666666667
Andhra Pradesh,Guntur,Cotton,2024,25227,59309.93,2.351,592.5,26.516666666666666,56.291666666666664,6952.419166666667,8161.535833333332,7556.9783333333335
Andhra Pradesh,Guntur,Cotton,2025,16534,33209.09,2.009,387.9,26.416666666666668,53.949999999999996,7179.96,8428.648333333333,7804.305833333333
Andhra Pradesh,Guntur,Groundnut,2020,28247,80428.55,2.847,698.6,25.291666666666668,60.89166666666667,5202.450833333333,6107.224166666667,5654.8358333333335
Andhra Pradesh,Guntur,Groundnut,2021,26271,52313.9,1.991,589.5,25.5,58.23333333333333,5372.5633333333335,6306.921666666666,5839.741666666666
Andhra Pradesh,Guntur,Groundnut,2022,13571,27204.54,2.005,734.0,26.866666666666664,66.38333333333334,5442.293333333334,6388.778333333333,5915.537499999999
Andhra Pradesh,Guntur,Groundnut,2023,21448,49868.31,2.325,707.3,26.008333333333336,62.725,5554.655833333333,6520.6825,6037.6675
Andhra Pradesh,Guntur,Groundnut,2024,7027,15897.9,2.262,592.5,26.516666666666666,56.291666666666664,5661.3725,6645.9591666666665,6153.666666666667
Andhra Pradesh,Guntur,Groundnut,2025,17666,39132.44,2.215,387.9,26.416666666666668,53.949999999999996,5876.553333333333,6898.56,6387.5575
Andhra Pradesh,Guntur,Chilli,2020,11184,18414.64,1.647,698.6,25.291666666666668,60.89166666666667,9539.065833333334,11198.033333333333,10368.550000000001
Andhra Pradesh,Guntur,Chilli,2021,7454,16980.8,2.278,589.5,25.5,58.23333333333333,9750.574166666667,11446.326666666666,10598.449166666667
Andhra Pradesh,Guntur,Chilli,2022,24115,48013.25,1.991,734.0,26.866666666666664,66.38333333333334,10237.32,12017.723333333333,11127.520833333334
Andhra Pradesh,Guntur,Chilli,2023,10056,18357.01,1.825,707.3,26.008333333333336,62.725,10402.22,12211.300000000001,11306.762499999999
Andhra Pradesh,Guntur,Chilli,2024,25224,47050.96,1.865,592.5,26.516666666666666,56.291666666666664,10577.969166666668,12417.6175,11497.793333333333
Andhra Pradesh,Guntur,Chilli,2025,17685,36113.19,2.042,387.9,26.416666666666668,53.949999999999996,10421.768333333333,12234.249166666666,11328.0075
Andhra Pradesh,Krishna,Rice,2020,26518,104415.58,3.938,683.9,25.991666666666664,60.98333333333333,2022.405,2374.125833333333,2198.2658333333334
Andhra Pradesh,Krishna,Rice,2021,29242,120986.87,4.137,440.29999999999995,25.816666666666666,59.44166666666666,2084.1058333333335,2446.56,2265.3308333333334
Andhra Pradesh,Krishna,Rice,2022,13755,63223.09,4.596,738.4,26.625,59.38333333333333,2117.4466666666667,2485.6974999999998,2301.5716666666667
Andhra Pradesh,Krishna,Rice,2023,19820,74353.11,3.751,526.5,25.991666666666664,55.80833333333334,2168.5158333333334,2545.6475,2357.0816666666665
Andhra Pradesh,Krishna,Rice,2024,24626,114095.76,4.633,505.2,26.8,58.34166666666667,2252.034166666667,2643.69,2447.8608333333336
Andhra Pradesh,Krishna,Rice,2025,27299,120397.98,4.41,686.2,26.59166666666667,68.375,2285.0183333333334,2682.4125,2483.7175
Andhra Pradesh,Krishna,Maize,2020,18931,76404.55,4.036,683.9,25.991666666666664,60.98333333333333,1713.9791666666667,2012.0633333333333,1863.0208333333333
Andhra Pradesh,Krishna,Maize,2021,20707,79461.67,3.837,440.29999999999995,25.816666666666666,59.44166666666666,1851.53,2173.5358333333334,2012.5325
Andhra Pradesh,Krishna,Maize,2022,6306,24627.04,3.905,738.4,26.625,59.38333333333333,1820.4908333333333,2137.0983333333334,1978.795
Andhra Pradesh,Krishna,Maize,2023,27248,96771.18,3.551,526.5,25.991666666666664,55.80833333333334,1849.2583333333332,2170.8675,2010.0641666666668
Andhra Pradesh,Krishna,Maize,2024,10530,36820.11,3.497,505.2,26.8,58.34166666666667,1955.8741666666665,2296.0266666666666,2125.9516666666664
Andhra Pradesh,Krishna,Maize,2025,18545,70877.06,3.822,686.2,26.59166666666667,68.375,1975.8100000000002,2319.43,2147.62
Andhra Pradesh,Krishna,Cotton,2020,22879,53055.53,2.319,683.9,25.991666666666664,60.98333333333333,6110.745833333333,7173.485833333333,6642.115000000001
Andhra Pradesh,Krishna,Cotton,2021,18808,33401.79,1.776,440.29999999999995,25.816666666666666,59.44166666666666,6322.169999999999,7421.677500000001,6871.923333333333
Andhra Pradesh,Krishna,Cotton,2022,16649,35099.22,2.108,738.4,26.625,59.38333333333333,6393.010833333334,7504.839166666668,6948.923333333333
Andhra Pradesh,Krishna,Cotton,2023,22082,60156.73,2.724,526.5,25.991666666666664,55.80833333333334,6947.8533333333335,8156.174999999999,7552.014166666667
Andhra Pradesh,Krishna,Cotton,2024,18877,38290.91,2.028,505.2,26.8,58.34166666666667,7069.305,8298.750833333334,7684.029166666667
Andhra Pradesh,Krishna,Cotton,2025,27912,53428.21,1.914,686.2,26.59166666666667,68.375,7039.23,8263.443333333335,7651.336666666666
Andhra Pradesh,Krishna,Groundnut,2020,23091,50572.22,2.19,683.9,25.991666666666664,60.98333333333333,5240.825,6152.275000000001,5696.552500000001
Andhra Pradesh,Krishna,Groundnut,2021,9931,21825.32,2.198,440.29999999999995,25.816666666666666,59.44166666666666,5281.155,6199.615000000001,5740.384999999999
Andhra Pradesh,Krishna,Groundnut,2022,17688,46585.74,2.634,738.4,26.625,59.38333333333333,5419.5325,6362.06,5890.795833333334
Andhra Pradesh,Krishna,Groundnut,2023,24315,59520.15,2.448,526.5,25.991666666666664,55.80833333333334,5673.764999999999,6660.505,6167.135833333334
Andhra Pradesh,Krishna,Groundnut,2024,16774,35556.69,2.12,505.2,26.8,58.34166666666667,5767.732500000001,6770.8175,6269.276666666668
Andhra Pradesh,Krishna,Groundnut,2025,20708,52931.14,2.556,686.2,26.59166666666667,68.375,5776.531666666667,6781.145833333333,6278.838333333333
Andhra Pradesh,Krishna,Chilli,2020,19243,32903.52,1.71,683.9,25.991666666666664,60.98333333333333,9629.112500000001,11303.740833333335,10466.426666666666
Andhra Pradesh,Krishna,Chilli,2021,13338,21763.28,1.632,440.29999999999995,25.816666666666666,59.44166666666666,10241.709166666666,12022.874166666666,11132.291666666666
Andhra Pradesh,Krishna,Chilli,2022,13680,28163.89,2.059,738.4,26.625,59.38333333333333,10106.534166666666,11864.193333333335,10985.365
Andhra Pradesh,Krishna,Chilli,2023,7385,15501.79,2.099,526.5,25.991666666666664,55.80833333333334,10557.012499999999,12393.015833333333,11475.014166666668
Andhra Pradesh,Krishna,Chilli,2024,13120,24784.81,1.889,505.2,26.8,58.34166666666667,10588.69,12430.201666666666,11509.445833333333
Andhra Pradesh,Krishna,Chilli,2025,19075,30334.41,1.59,686.2,26.59166666666667,68.375,10987.714166666667,12898.62,11943.165833333333
