Year,Area_Hectares,Annual_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_Percent,Avg_Modal_Price,Yield_Tonnes_Per_Hectare,Rainfall_per_Hectare,Price_Yield_Ratio,Years_From_2020,State_Karnataka,State_Maharashtra,State_Telangana,District_Dharwad,District_Guntur,District_Karimnagar,District_Khammam,District_Krishna,District_Kurnool,District_Mysuru,District_Nagpur,District_Nalgonda,District_Nashik,District_Prakasam,District_Pune,District_Warangal,Crop_Cotton,Crop_Groundnut,Crop_Maize,Crop_Rice
2020,28654,698.6,25.291666666666668,60.89166666666667,2170.5641666666666,4.252,0.024380540238710127,510.4807541549075,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2021,26575,589.5,25.5,58.23333333333333,2277.8866666666668,4.124,0.02218250235183443,552.3488522470094,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2022,21850,734.0,26.866666666666664,66.38333333333334,2289.6741666666667,3.955,0.03359267734553776,578.9315212810787,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023,16363,707.3,26.008333333333336,62.725,2358.4475,4.023,0.04322556988327324,586.2409893114592,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024,5769,592.5,26.516666666666666,56.29166666666666,2419.7475,4.262,0.10270410816432657,567.749296105115,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025,7433,387.9,26.416666666666668,53.95,2458.78,4.019,0.05218619669043455,611.7890022393631,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2020,25939,698.6,25.291666666666668,60.89166666666667,1926.7833333333333,3.696,0.026932418366166777,521.3158369408369,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021,23942,589.5,25.5,58.23333333333333,1947.765,3.554,0.024622003174337985,548.0486775464266,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022,5189,734.0,26.866666666666664,66.38333333333334,1996.6758333333332,3.639,0.14145307380998265,548.688055326555,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,6899,707.3,26.008333333333336,62.725,2000.174166666667,4.257,0.10252210465284824,469.85533630882475,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024,16394,592.5,26.516666666666666,56.29166666666666,2040.8575,4.066,0.03614127119677931,501.93248893261193,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025,19502,387.9,26.416666666666668,53.95,2104.528333333333,3.796,0.019890267664854886,554.4068317527222,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,28897,698.6,25.291666666666668,60.89166666666667,6653.302500000001,1.982,0.02417551995016784,3356.86301715439,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2021,26870,589.5,25.5,58.23333333333333,7067.6925,2.628,0.021938965388909566,2689.380707762557,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2022,22159,734.0,26.866666666666664,66.38333333333334,7027.560833333333,1.91,0.03312423845841419,3679.351221640489,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023,24457,707.3,26.008333333333336,62.725,7475.876666666667,1.819,0.028920145561597905,4109.882719442918,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024,25227,592.5,26.516666666666666,56.29166666666666,7556.978333333333,2.351,0.023486740397193482,3214.3676449737695,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2025,16534,387.9,26.416666666666668,53.95,7804.305833333333,2.009,0.023460747550501995,3884.671893147503,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2020,28247,698.6,25.291666666666668,60.89166666666667,5654.8358333333335,2.847,0.024731829928842,1986.2437068258987,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2021,26271,589.5,25.5,58.23333333333333,5839.741666666666,1.991,0.022439191503939707,2933.069646743679,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022,13571,734.0,26.866666666666664,66.38333333333334,5915.537499999999,2.005,0.05408591850268956,2950.3927680798006,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2023,21448,707.3,26.008333333333336,62.725,6037.6675,2.325,0.03297743379336068,2596.8462365591395,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024,7027,592.5,26.516666666666666,56.29166666666666,6153.666666666667,2.262,0.08431763199089228,2720.4538756262896,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025,17666,387.9,26.416666666666668,53.95,6387.5575,2.215,0.02195743235593796,2883.773137697517,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2020,11184,698.6,25.291666666666668,60.89166666666667,10368.55,1.647,0.06246423462088698,6295.415907710989,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,7454,589.5,25.5,58.23333333333333,10598.449166666667,2.278,0.07908505500402468,4652.523778167983,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,24115,734.0,26.866666666666664,66.38333333333334,11127.520833333334,1.991,0.030437487041260626,5588.910513979575,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10056,707.3,26.008333333333336,62.725,11306.7625,1.825,0.07033611774065235,6195.486301369863,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024,25224,592.5,26.516666666666666,56.29166666666666,11497.793333333331,1.865,0.0234895337773549,6165.036639857014,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
