State,District,Year,Annual_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_Percent,Max_Temperature_C,Min_Temperature_C,Risk_Score,Weather_Risk
Andhra Pradesh,Guntur,2020,698.6,25.291666666666668,60.89166666666667,32.9,20.9,1,Low
Andhra Pradesh,Guntur,2021,589.5,25.5,58.23333333333333,29.2,18.9,1,Low
Andhra Pradesh,Guntur,2022,734.0,26.866666666666664,66.38333333333334,32.9,22.6,0,Low
Andhra Pradesh,Guntur,2023,707.3,26.008333333333336,62.725,31.9,19.3,0,Low
Andhra Pradesh,Guntur,2024,592.5,26.516666666666666,56.291666666666664,29.3,22.4,1,Low
Andhra Pradesh,Guntur,2025,387.9,26.416666666666668,53.949999999999996,30.4,19.2,2,Moderate
Andhra Pradesh,Krishna,2020,683.9,25.991666666666664,60.98333333333333,31.6,19.3,1,Low
Andhra Pradesh,Krishna,2021,440.29999999999995,25.816666666666666,59.44166666666666,28.8,21.3,2,Moderate
Andhra Pradesh,Krishna,2022,738.4,26.625,59.38333333333333,30.5,21.5,0,Low
Andhra Pradesh,Krishna,2023,526.5,25.991666666666664,55.80833333333334,28.6,22.3,1,Low
Andhra Pradesh,Krishna,2024,505.2,26.8,58.34166666666667,30.4,24.1,1,Low
Andhra Pradesh,Krishna,2025,686.2,26.59166666666667,68.375,28.7,24.7,1,Low
Andhra Pradesh,Kurnool,2020,666.8000000000001,25.400000000000002,61.01666666666667,30.5,19.2,1,Low
Andhra Pradesh,Kurnool,2021,656.2,26.191666666666666,59.324999999999996,32.2,23.2,1,Low
Andhra Pradesh,Kurnool,2022,805.3,26.21666666666667,61.275,30.1,22.3,0,Low
Andhra Pradesh,Kurnool,2023,550.9,26.900000000000002,57.15,32.0,23.0,1,Low
Andhra Pradesh,Kurnool,2024,666.6,25.916666666666668,61.60833333333334,31.2,21.5,1,Low
Andhra Pradesh,Kurnool,2025,694.3,25.5,61.24166666666667,29.3,22.2,1,Low
Andhra Pradesh,Prakasam,2020,775.1,26.258333333333336,68.375,33.2,21.9,0,Low
Andhra Pradesh,Prakasam,2021,525.5,24.150000000000002,63.675000000000004,31.5,18.7,1,Low
Andhra Pradesh,Prakasam,2022,746.8,26.333333333333332,62.5,31.3,21.4,0,Low
Andhra Pradesh,Prakasam,2023,575.3,26.0,62.416666666666664,32.7,19.6,1,Low
Andhra Pradesh,Prakasam,2024,597.5,25.724999999999998,62.916666666666664,33.1,19.3,1,Low
Andhra Pradesh,Prakasam,2025,585.1,26.75,62.35,31.6,20.5,1,Low
Karnataka,Belagavi,2020,495.9,26.133333333333336,55.44166666666666,29.1,22.1,2,Moderate
Karnataka,Belagavi,2021,680.0,25.816666666666666,56.69166666666666,28.9,22.6,1,Low
Karnataka,Belagavi,2022,630.7,25.45,60.300000000000004,30.8,18.2,1,Low
Karnataka,Belagavi,2023,610.6,25.65833333333333,59.666666666666664,32.4,21.9,1,Low
Karnataka,Belagavi,2024,594.0,26.283333333333335,60.425000000000004,33.7,20.6,1,Low
Karnataka,Belagavi,2025,638.5,26.575,61.675000000000004,30.7,21.0,1,Low
Karnataka,Dharwad,2020,604.0,25.349999999999998,58.375,29.4,20.0,1,Low
Karnataka,Dharwad,2021,621.1999999999999,24.983333333333334,62.60833333333333,31.0,20.0,1,Low
Karnataka,Dharwad,2022,696.9,26.233333333333334,59.00833333333333,28.9,19.3,1,Low
Karnataka,Dharwad,2023,539.0,26.791666666666668,58.59166666666667,31.8,24.2,1,Low
Karnataka,Dharwad,2024,499.0,25.675,56.90833333333333,31.5,23.4,2,Moderate
Karnataka,Dharwad,2025,631.6,26.349999999999998,57.875,30.0,19.8,1,Low
Karnataka,Mysuru,2020,668.7,25.75,67.63333333333334,29.3,19.9,1,Low
Karnataka,Mysuru,2021,697.2,26.183333333333334,63.59166666666667,29.9,22.2,1,Low
Karnataka,Mysuru,2022,663.6,26.366666666666664,57.650000000000006,30.8,21.9,1,Low
Karnataka,Mysuru,2023,636.3,25.71666666666667,59.75,28.7,23.2,1,Low
Karnataka,Mysuru,2024,625.0,26.974999999999998,59.59166666666667,32.6,24.0,1,Low
Karnataka,Mysuru,2025,771.0,26.0,60.05833333333333,29.6,21.4,0,Low
Maharashtra,Nagpur,2020,871.9,26.45,60.51666666666667,34.3,21.3,0,Low
Maharashtra,Nagpur,2021,735.4,26.78333333333333,64.96666666666667,37.1,22.6,0,Low
Maharashtra,Nagpur,2022,561.9,25.083333333333332,59.625,27.0,21.3,1,Low
Maharashtra,Nagpur,2023,540.6,26.316666666666666,58.90833333333333,31.1,21.9,1,Low
Maharashtra,Nagpur,2024,664.9,25.650000000000002,63.71666666666667,28.1,20.4,1,Low
Maharashtra,Nagpur,2025,586.7,25.400000000000002,59.225,28.4,21.7,1,Low
Maharashtra,Nashik,2020,745.4,26.0,62.61666666666667,31.6,19.3,0,Low
Maharashtra,Nashik,2021,597.9,26.566666666666666,59.18333333333334,32.1,22.3,1,Low
Maharashtra,Nashik,2022,532.3000000000001,24.28333333333333,61.64166666666667,27.2,21.2,1,Low
Maharashtra,Nashik,2023,718.6,26.275000000000002,62.30833333333334,31.1,21.0,0,Low
Maharashtra,Nashik,2024,621.5,27.083333333333332,61.39166666666667,31.5,22.2,1,Low
Maharashtra,Nashik,2025,790.9,26.016666666666666,59.458333333333336,30.0,20.7,0,Low
Maharashtra,Pune,2020,529.2,27.325,60.025000000000006,31.6,22.9,1,Low
Maharashtra,Pune,2021,587.2,26.333333333333332,61.53333333333333,28.4,23.6,1,Low
