State,District,Crop,Year,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare
Andhra Pradesh,Guntur,Rice,2020,28654,121831.81,4.252
Andhra Pradesh,Guntur,Rice,2021,26575,109596.96,4.124
Andhra Pradesh,Guntur,Rice,2022,21850,86406.83,3.955
Andhra Pradesh,Guntur,Rice,2023,16363,65822.87,4.023
Andhra Pradesh,Guntur,Rice,2024,5769,24588.24,4.262
Andhra Pradesh,Guntur,Rice,2025,7433,29870.92,4.019
Andhra Pradesh,Guntur,Maize,2020,25939,95874.77,3.696
Andhra Pradesh,Guntur,Maize,2021,23942,85101.16,3.554
Andhra Pradesh,Guntur,Maize,2022,5189,18883.27,3.639
Andhra Pradesh,Guntur,Maize,2023,6899,29368.26,4.257
Andhra Pradesh,Guntur,Maize,2024,16394,66666.15,4.066
Andhra Pradesh,Guntur,Maize,2025,19502,74031.84,3.796
Andhra Pradesh,Guntur,Cotton,2020,28897,57269.66,1.982
Andhra Pradesh,Guntur,Cotton,2021,26870,70615.72,2.628
Andhra Pradesh,Guntur,Cotton,2022,22159,42322.48,1.91
Andhra Pradesh,Guntur,Cotton,2023,24457,44482.62,1.819
Andhra Pradesh,Guntur,Cotton,2024,25227,59309.93,2.351
Andhra Pradesh,Guntur,Cotton,2025,16534,33209.09,2.009
Andhra Pradesh,Guntur,Groundnut,2020,28247,80428.55,2.847
Andhra Pradesh,Guntur,Groundnut,2021,26271,52313.9,1.991
Andhra Pradesh,Guntur,Groundnut,2022,13571,27204.54,2.005
Andhra Pradesh,Guntur,Groundnut,2023,21448,49868.31,2.325
Andhra Pradesh,Guntur,Groundnut,2024,7027,15897.9,2.262
Andhra Pradesh,Guntur,Groundnut,2025,17666,39132.44,2.215
Andhra Pradesh,Guntur,Chilli,2020,11184,18414.64,1.647
Andhra Pradesh,Guntur,Chilli,2021,7454,16980.8,2.278
Andhra Pradesh,Guntur,Chilli,2022,24115,48013.25,1.991
Andhra Pradesh,Guntur,Chilli,2023,10056,18357.01,1.825
Andhra Pradesh,Guntur,Chilli,2024,25224,47050.96,1.865
Andhra Pradesh,Guntur,Chilli,2025,17685,36113.19,2.042
Andhra Pradesh,Krishna,Rice,2020,26518,104415.58,3.938
Andhra Pradesh,Krishna,Rice,2021,29242,120986.87,4.137
Andhra Pradesh,Krishna,Rice,2022,13755,63223.09,4.596
Andhra Pradesh,Krishna,Rice,2023,19820,74353.11,3.751
Andhra Pradesh,Krishna,Rice,2024,24626,114095.76,4.633
Andhra Pradesh,Krishna,Rice,2025,27299,120397.98,4.41
Andhra Pradesh,Krishna,Maize,2020,18931,76404.55,4.036
Andhra Pradesh,Krishna,Maize,2021,20707,79461.67,3.837
Andhra Pradesh,Krishna,Maize,2022,6306,24627.04,3.905
Andhra Pradesh,Krishna,Maize,2023,27248,96771.18,3.551
Andhra Pradesh,Krishna,Maize,2024,10530,36820.11,3.497
Andhra Pradesh,Krishna,Maize,2025,18545,70877.06,3.822
Andhra Pradesh,Krishna,Cotton,2020,22879,53055.53,2.319
Andhra Pradesh,Krishna,Cotton,2021,18808,33401.79,1.776
Andhra Pradesh,Krishna,Cotton,2022,16649,35099.22,2.108
Andhra Pradesh,Krishna,Cotton,2023,22082,60156.73,2.724
Andhra Pradesh,Krishna,Cotton,2024,18877,38290.91,2.028
