State,District,Market,Crop,Date,Min_Price_Rs_per_Quintal,Max_Price_Rs_per_Quintal,Modal_Price_Rs_per_Quintal
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-01-01,1864.56,2188.83,2026.7
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-02-01,2079.3,2440.91,2260.1
Andhra Pradesh,Guntur,Agricultural Market,Rice,2020-03-01,2383.3,2797.79,2590.54
Andhra Pradesh,Guntur,Main Market,Rice,2020-04-01,2205.4,2588.94,2397.17
Andhra Pradesh,Guntur,Agricultural Market,Rice,2020-05-01,2209.72,2594.02,2401.87
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-06-01,2172.8,2550.67,2361.74
Andhra Pradesh,Guntur,Main Market,Rice,2020-07-01,1948.72,2287.63,2118.17
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-08-01,1788.04,2099.01,1943.53
Andhra Pradesh,Guntur,Main Market,Rice,2020-09-01,1969.15,2311.61,2140.38
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-10-01,1631.19,1914.88,1773.04
Andhra Pradesh,Guntur,Main Market,Rice,2020-11-01,1729.81,2030.64,1880.23
Andhra Pradesh,Guntur,Central Mandi,Rice,2020-12-01,1981.04,2325.56,2153.3
Andhra Pradesh,Guntur,Central Mandi,Rice,2021-01-01,1929.53,2265.1,2097.31
Andhra Pradesh,Guntur,Main Market,Rice,2021-02-01,2187.18,2567.55,2377.36
Andhra Pradesh,Guntur,Agricultural Market,Rice,2021-03-01,2213.66,2598.64,2406.15
Andhra Pradesh,Guntur,Central Mandi,Rice,2021-04-01,2306.0,2707.05,2506.53
Andhra Pradesh,Guntur,Central Mandi,Rice,2021-05-01,2502.36,2937.55,2719.96
Andhra Pradesh,Guntur,Main Market,Rice,2021-06-01,2320.03,2723.51,2521.77
Andhra Pradesh,Guntur,Agricultural Market,Rice,2021-07-01,2147.19,2520.61,2333.9
Andhra Pradesh,Guntur,Central Mandi,Rice,2021-08-01,1775.99,2084.86,1930.42
Andhra Pradesh,Guntur,Agricultural Market,Rice,2021-09-01,1862.94,2186.93,2024.93
Andhra Pradesh,Guntur,Agricultural Market,Rice,2021-10-01,1970.3,2312.96,2141.63
Andhra Pradesh,Guntur,Main Market,Rice,2021-11-01,1977.53,2321.44,2149.49
Andhra Pradesh,Guntur,Central Mandi,Rice,2021-12-01,1955.17,2295.2,2125.19
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-01-01,2281.6,2678.4,2480.0
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-02-01,2298.4,2698.12,2498.26
Andhra Pradesh,Guntur,Central Mandi,Rice,2022-03-01,2150.07,2523.99,2337.03
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-04-01,2035.83,2389.89,2212.86
Andhra Pradesh,Guntur,Main Market,Rice,2022-05-01,2279.63,2676.09,2477.86
Andhra Pradesh,Guntur,Central Mandi,Rice,2022-06-01,2282.89,2679.91,2481.4
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-07-01,2035.69,2389.72,2212.7
Andhra Pradesh,Guntur,Main Market,Rice,2022-08-01,1993.89,2340.66,2167.28
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-09-01,2008.05,2357.28,2182.66
Andhra Pradesh,Guntur,Central Mandi,Rice,2022-10-01,1847.84,2169.21,2008.52
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-11-01,1927.71,2262.96,2095.34
Andhra Pradesh,Guntur,Agricultural Market,Rice,2022-12-01,2136.4,2507.95,2322.18
Andhra Pradesh,Guntur,Agricultural Market,Rice,2023-01-01,2177.34,2556.0,2366.67
Andhra Pradesh,Guntur,Main Market,Rice,2023-02-01,2367.21,2778.9,2573.06
Andhra Pradesh,Guntur,Central Mandi,Rice,2023-03-01,2553.33,2997.39,2775.36
Andhra Pradesh,Guntur,Main Market,Rice,2023-04-01,2423.76,2845.29,2634.52
Andhra Pradesh,Guntur,Agricultural Market,Rice,2023-05-01,2362.63,2773.52,2568.08
Andhra Pradesh,Guntur,Main Market,Rice,2023-06-01,2275.09,2670.76,2472.93
Andhra Pradesh,Guntur,Central Mandi,Rice,2023-07-01,2152.32,2526.64,2339.48
Andhra Pradesh,Guntur,Main Market,Rice,2023-08-01,1969.76,2312.32,2141.04
Andhra Pradesh,Guntur,Main Market,Rice,2023-09-01,1947.76,2286.5,2117.13
Andhra Pradesh,Guntur,Main Market,Rice,2023-10-01,1893.16,2222.4,2057.78
Andhra Pradesh,Guntur,Central Mandi,Rice,2023-11-01,1942.01,2279.75,2110.88
Andhra Pradesh,Guntur,Central Mandi,Rice,2023-12-01,1972.89,2316.0,2144.44
Andhra Pradesh,Guntur,Main Market,Rice,2024-01-01,2390.22,2805.91,2598.06
Andhra Pradesh,Guntur,Main Market,Rice,2024-02-01,2234.9,2623.58,2429.24
Andhra Pradesh,Guntur,Main Market,Rice,2024-03-01,2326.36,2730.95,2528.65
Andhra Pradesh,Guntur,Central Mandi,Rice,2024-04-01,2628.29,3085.38,2856.84
Andhra Pradesh,Guntur,Agricultural Market,Rice,2024-05-01,2393.06,2809.24,2601.15
Andhra Pradesh,Guntur,Main Market,Rice,2024-06-01,2406.64,2825.19,2615.92
Andhra Pradesh,Guntur,Agricultural Market,Rice,2024-07-01,2217.66,2603.34,2410.5
Andhra Pradesh,Guntur,Central Mandi,Rice,2024-08-01,2176.22,2554.69,2365.46
Andhra Pradesh,Guntur,Main Market,Rice,2024-09-01,1977.48,2321.39,2149.43
Andhra Pradesh,Guntur,Central Mandi,Rice,2024-10-01,2060.15,2418.43,2239.29
Andhra Pradesh,Guntur,Main Market,Rice,2024-11-01,2002.12,2350.31,2176.21
Andhra Pradesh,Guntur,Main Market,Rice,2024-12-01,1900.92,2231.51,2066.22
Andhra Pradesh,Guntur,Agricultural Market,Rice,2025-01-01,2268.73,2663.29,2466.01
Andhra Pradesh,Guntur,Central Mandi,Rice,2025-02-01,2612.19,3066.49,2839.34
Andhra Pradesh,Guntur,Central Mandi,Rice,2025-03-01,2097.83,2462.67,2280.25
Andhra Pradesh,Guntur,Main Market,Rice,2025-04-01,2630.36,3087.81,2859.08
Andhra Pradesh,Guntur,Main Market,Rice,2025-05-01,2285.95,2683.51,2484.73
Andhra Pradesh,Guntur,Agricultural Market,Rice,2025-06-01,2493.88,2927.6,2710.74
Andhra Pradesh,Guntur,Main Market,Rice,2025-07-01,2290.84,2689.25,2490.05
Andhra Pradesh,Guntur,Agricultural Market,Rice,2025-08-01,2066.65,2426.07,2246.36
Andhra Pradesh,Guntur,Main Market,Rice,2025-09-01,1947.82,2286.57,2117.19
Andhra Pradesh,Guntur,Agricultural Market,Rice,2025-10-01,2150.72,2524.76,2337.74
Andhra Pradesh,Guntur,Agricultural Market,Rice,2025-11-01,2031.17,2384.42,2207.79
Andhra Pradesh,Guntur,Central Mandi,Rice,2025-12-01,2268.79,2663.37,2466.08
Andhra Pradesh,Guntur,Agricultural Market,Maize,2020-01-01,1824.7,2142.04,1983.37
Andhra Pradesh,Guntur,Main Market,Maize,2020-02-01,1663.4,1952.68,1808.04
Andhra Pradesh,Guntur,Agricultural Market,Maize,2020-03-01,1895.65,2225.32,2060.49
Andhra Pradesh,Guntur,Central Mandi,Maize,2020-04-01,1960.43,2301.37,2130.9
Andhra Pradesh,Guntur,Main Market,Maize,2020-05-01,2126.71,2496.57,2311.64
Andhra Pradesh,Guntur,Main Market,Maize,2020-06-01,1803.78,2117.49,1960.63
Andhra Pradesh,Guntur,Main Market,Maize,2020-07-01,1939.16,2276.4,2107.78
Andhra Pradesh,Guntur,Central Mandi,Maize,2020-08-01,1849.21,2170.81,2010.01
Andhra Pradesh,Guntur,Main Market,Maize,2020-09-01,1521.75,1786.41,1654.08
Andhra Pradesh,Guntur,Central Mandi,Maize,2020-10-01,1513.01,1776.14,1644.57
Andhra Pradesh,Guntur,Central Mandi,Maize,2020-11-01,1589.19,1865.57,1727.38
Andhra Pradesh,Guntur,Main Market,Maize,2020-12-01,1584.71,1860.31,1722.51
Andhra Pradesh,Guntur,Agricultural Market,Maize,2021-01-01,1822.37,2139.3,1980.83
Andhra Pradesh,Guntur,Main Market,Maize,2021-02-01,1935.26,2271.83,2103.54
Andhra Pradesh,Guntur,Agricultural Market,Maize,2021-03-01,1997.2,2344.53,2170.86
Andhra Pradesh,Guntur,Agricultural Market,Maize,2021-04-01,1774.94,2083.63,1929.29
Andhra Pradesh,Guntur,Main Market,Maize,2021-05-01,2115.38,2483.27,2299.32
Andhra Pradesh,Guntur,Main Market,Maize,2021-06-01,1795.12,2107.32,1951.22
Andhra Pradesh,Guntur,Agricultural Market,Maize,2021-07-01,1711.16,2008.76,1859.96
Andhra Pradesh,Guntur,Agricultural Market,Maize,2021-08-01,1756.06,2061.46,1908.76
