State,District,Year,Month,Rainfall_mm,Temperature_C,Humidity_Percent
Andhra Pradesh,Guntur,2020,1,0.0,20.9,68.7
Andhra Pradesh,Guntur,2020,2,78.8,21.5,63.6
Andhra Pradesh,Guntur,2020,3,40.2,27.3,39.7
Andhra Pradesh,Guntur,2020,4,2.0,32.9,50.3
Andhra Pradesh,Guntur,2020,5,19.3,25.1,59.7
Andhra Pradesh,Guntur,2020,6,104.0,26.1,57.6
Andhra Pradesh,Guntur,2020,7,149.2,21.0,72.0
Andhra Pradesh,Guntur,2020,8,24.6,26.8,62.8
Andhra Pradesh,Guntur,2020,9,138.3,24.6,80.7
Andhra Pradesh,Guntur,2020,10,105.8,24.2,64.4
Andhra Pradesh,Guntur,2020,11,30.2,23.8,50.0
Andhra Pradesh,Guntur,2020,12,6.2,29.3,61.2
Andhra Pradesh,Guntur,2021,1,8.2,18.9,42.6
Andhra Pradesh,Guntur,2021,2,42.6,19.7,57.3
Andhra Pradesh,Guntur,2021,3,0.0,28.2,55.5
Andhra Pradesh,Guntur,2021,4,29.2,27.0,51.6
Andhra Pradesh,Guntur,2021,5,0.0,29.2,61.4
Andhra Pradesh,Guntur,2021,6,57.3,27.9,69.6
Andhra Pradesh,Guntur,2021,7,106.4,25.4,64.8
Andhra Pradesh,Guntur,2021,8,109.8,26.5,69.1
Andhra Pradesh,Guntur,2021,9,117.7,27.5,53.2
Andhra Pradesh,Guntur,2021,10,58.0,25.9,59.1
Andhra Pradesh,Guntur,2021,11,53.1,24.0,65.9
Andhra Pradesh,Guntur,2021,12,7.2,25.8,48.7
Andhra Pradesh,Guntur,2022,1,56.6,24.7,65.1
Andhra Pradesh,Guntur,2022,2,51.4,24.2,75.6
Andhra Pradesh,Guntur,2022,3,59.3,24.7,76.9
Andhra Pradesh,Guntur,2022,4,0.0,30.9,71.2
Andhra Pradesh,Guntur,2022,5,55.6,22.6,76.5
Andhra Pradesh,Guntur,2022,6,178.6,27.2,67.7
Andhra Pradesh,Guntur,2022,7,58.4,25.8,78.2
Andhra Pradesh,Guntur,2022,8,124.4,32.9,68.3
Andhra Pradesh,Guntur,2022,9,42.9,25.4,35.7
Andhra Pradesh,Guntur,2022,10,6.3,29.1,57.6
Andhra Pradesh,Guntur,2022,11,31.3,29.6,52.8
Andhra Pradesh,Guntur,2022,12,69.2,25.3,71.0
Andhra Pradesh,Guntur,2023,1,0.0,23.8,43.8
Andhra Pradesh,Guntur,2023,2,21.7,26.0,46.1
Andhra Pradesh,Guntur,2023,3,96.7,28.7,68.5
Andhra Pradesh,Guntur,2023,4,51.9,25.9,69.3
Andhra Pradesh,Guntur,2023,5,0.0,31.9,46.5
Andhra Pradesh,Guntur,2023,6,102.2,28.8,71.2
Andhra Pradesh,Guntur,2023,7,79.7,22.8,63.5
Andhra Pradesh,Guntur,2023,8,118.5,24.6,74.4
Andhra Pradesh,Guntur,2023,9,116.7,19.3,70.0
Andhra Pradesh,Guntur,2023,10,103.8,28.3,71.4
Andhra Pradesh,Guntur,2023,11,0.0,26.2,60.9
Andhra Pradesh,Guntur,2023,12,16.1,25.8,67.1
Andhra Pradesh,Guntur,2024,1,0.0,22.4,60.5
Andhra Pradesh,Guntur,2024,2,41.0,27.6,59.6
Andhra Pradesh,Guntur,2024,3,5.1,29.1,45.9
Andhra Pradesh,Guntur,2024,4,16.2,29.3,52.1
